player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
David Blough,David,Blough,David Blough,QB,0,0,0,0,0,0,0,0,0,0,0,18.299999999999997,8.2,8.3,8.68,11.879999999999999
Dwayne Haskins,Dwayne,Haskins,Dwayne Haskins,QB,0,0,0,0.5800000000000001,0,0,0,-0.6799999999999999,7.16,18.060000000000002,5.039999999999999,6.4799999999999995,8.7,20.04,14.32,0.0
Devlin Hodges,Devlin,Hodges,Devlin Hodges,QB,0,0,0,0,4.720000000000001,8.08,0,0,0,0,9.82,10.68,13.48,4.48,-0.6400000000000001,1.6999999999999997
Daniel Jones,Daniel,Jones,Daniel Jones,QB,-0.8199999999999998,0,35.24,12.3,10.48,6.24,10.420000000000002,28.18,11.8,31.32,14.7,8.2,0.0,0.0,35.28,14.64
Drew Lock,Drew,Lock,Drew Lock,QB,0,0,0,0,0,0,0,0,0,0,0,12.86,23.86,6.620000000000001,12.68,11.98
Gardner Minshew,Gardner,Minshew,Gardner Minshew,QB,17.6,16.119999999999997,17.96,16.72,22.16,4.619999999999999,21.0,24.96,7.76,0,0,10.68,13.58,18.74,15.84,24.5
Jarrett Stidham,Jarrett,Stidham,Jarrett Stidham,QB,0,0,-1.44,0,0.0,0,-0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kyler Murray,Kyler,Murray,Kyler Murray,QB,21.62,16.36,18.82,16.34,25.42,28.799999999999997,6.96,10.100000000000001,24.04,27.76,26.7,13.32,9.959999999999999,16.36,12.719999999999999,13.0
Ryan Finley,Ryan,Finley,Ryan Finley,QB,0,0,0,0,0,0,0,0,8.879999999999999,5.300000000000001,10.48,0.0,0.0,0.0,0.0,0.0
Trace McSorley,Trace,McSorley,Trace McSorley,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1
Will Grier,Will,Grier,Will Grier,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.66,-3.34
Andrew Beck,Andrew,Beck,Andrew Beck,RB,0,0,0.0,0,1.0,0,0.0,0.0,0,0.0,1.8,1.1,2.9,1.3,0.64,6.8
Alec Ingold,Alec,Ingold,Alec Ingold,RB,0,0,0,0.1,0.3,0,0.2,0.2,7.2,0.3,0.0,1.7000000000000002,-0.1,2.2,0.0,0.0
Alexander Mattison,Alexander,Mattison,Alexander Mattison,RB,4.9,2.5,11.8,1.3,5.2,4.3,1.8,6.3999999999999995,0.6,5.4,0.5,7.3,6.3999999999999995,0.0,0.0,0.0
Benny Snell Jr.,Benny,Snell Jr.,Benny Snell Jr.,RB,0,2.3,0.6,0.1,0,8.9,1.3,0,0,0,10.3,12.700000000000001,2.0999999999999996,0.1,1.4,15.1
Cullen Gillaspia,Cullen,Gillaspia,Cullen Gillaspia,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Damien Harris,Damien,Harris,Damien Harris,RB,0,0,0,0,0,0,1.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Darrell Henderson,Darrell,Henderson,Darrell Henderson,RB,0.0,0,0,0,0,4.8,3.9000000000000004,6.9,0.4,0,0,1.7,0.0,0.0,0.7,0.0
D'Ernest Johnson,D'Ernest,Johnson,D'Ernest Johnson,RB,3.5999999999999996,5.0,0,0.0,0.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
David Montgomery,David,Montgomery,David Montgomery,RB,4.5,12.799999999999999,8.1,6.699999999999999,9.6,-0.10000000000000009,20.7,19.6,6.0,5.0,3.1,14.7,6.6,4.9,5.9,17.3
Devine Ozigbo,Devine,Ozigbo,Devine Ozigbo,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0
Devin Singletary,Devin,Singletary,Devin Singletary,RB,9.8,11.7,0,0,0,2.6,10.9,20.0,5.0,7.9,11.4,16.1,11.8,6.899999999999999,4.8,0.0
Darwin Thompson,Darwin,Thompson,Darwin Thompson,RB,0.3,0.1,0.8,0,0,0,0,-0.1,0,0.7000000000000001,0,10.4,4.3,3.9,1.4,1.2999999999999998
Dexter Williams,Dexter,Williams,Dexter Williams,RB,0,0,0,0,0,0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.9
Justice Hill,Justice,Hill,Justice Hill,RB,2.7,1.4,0.1,1.7000000000000002,0.7,3.1,0.0,0.7,1.1,2.7,2.7,0.3,0.8,1.5,11.100000000000001,10.9
Jonathan Hilliman,Jonathan,Hilliman,Jonathan Hilliman,RB,0,0,0,1.2999999999999998,2.4,1.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Josh Jacobs,Josh,Jacobs,Josh Jacobs,RB,23.3,9.9,4.4,10.8,26.3,13.4,8.1,24.0,16.1,10.399999999999999,3.6,10.4,0.0,10.9,0.0,0.0
Jakob Johnson,Jakob,Johnson,Jakob Johnson,RB,0,0,0,0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jordan Scarlett,Jordan,Scarlett,Jordan Scarlett,RB,0,0,0,0,0,0,0.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Khari Blasingame,Khari,Blasingame,Khari Blasingame,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,4.7,0.0,0.0,0.7
Kerrith Whyte Jr.,Kerrith,Whyte Jr.,Kerrith Whyte Jr.,RB,0,0,0,0,0,0,0,0,0,0,4.3,1.0,5.0,0.5,2.2,0.1
Myles Gaskin,Myles,Gaskin,Myles Gaskin,RB,0,0,0,0,0,0,0,0,0.0,0.0,1.7,2.6,1.1,7.199999999999999,11.8,0.0
Miles Sanders,Miles,Sanders,Miles Sanders,RB,2.7,3.6999999999999997,10.6,7.2,6.4,15.2,3.2,21.8,7.300000000000001,4.7,8.6,16.5,6.9,29.2,21.6,5.1000000000000005
Patrick Laird,Patrick,Laird,Patrick Laird,RB,0,0,0,0,0,0,0,0,1.9,5.8,2.0,12.8,8.6,5.3999999999999995,1.8,6.9
Qadree Ollison,Qadree,Ollison,Qadree Ollison,RB,0,0,0,0,0,0,0,0,0,7.1,8.7,0.0,0.6,6.1,6.3,0.9
Ryquell Armstead,Ryquell,Armstead,Ryquell Armstead,RB,0.7,0,0,10.899999999999999,0.6,0.1,0.3,0.7,6.5,1.9,0.0,0.0,0.7,0.1,0.2,14.5
Tony Brooks-James,Tony,Brooks-James,Tony Brooks-James,RB,0,0,0,0,0,0,0,0.0,1.1,1.6,0,0.0,0.0,0.0,0.0,0.0
Travis Homer,Travis,Homer,Travis Homer,RB,0,0,0,0,0,0,0,0,0,0,0.0,2.9,0.0,0.7,4.2,9.2
Ty Johnson,Ty,Johnson,Ty Johnson,RB,0.6,3.6,0.5,1.4000000000000001,0,5.699999999999999,3.8,3.5999999999999996,1.9000000000000001,0.6,2.1,2.9,1.0,0.0,2.0,6.5
Tony Pollard,Tony,Pollard,Tony Pollard,RB,2.4,2.5,18.8,0,1.9,1.3,2.8,3.0,-0.4,13.6,2.8,0.7,0.0,22.3,-2.0,6.5
Trevon Wesco,Trevon,Wesco,Trevon Wesco,RB,0,0,0,0,0,0,0,0,1.7,0,0,0.0,0.0,0.0,3.2,0.0
Wes Hills,Wes,Hills,Wes Hills,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,14.2,0.0,0.0
Charles Jones,Charles,Jones,Charles Jones,TE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5
Dawson Knox,Dawson,Knox,Dawson Knox,TE,0.1,1.8,13.600000000000001,5.8,1.2,2.2,0.0,1.4,5.5,9.2,1.1,1.7,3.7,1.1,3.3,0.0
Drew Sample,Drew,Sample,Drew Sample,TE,0.0,2.5,0,0,0,-0.1,0.3,0,0.3,0,0,0.0,0.0,0.0,0.0,0.0
Foster Moreau,Foster,Moreau,Foster Moreau,TE,2.0,0,0.1,9.0,4.6,8.4,1.0,6.3,0,6.8,0.3,1.5,7.4,0.0,0.0,0.0
Hale Hentges,Hale,Hentges,Hale Hentges,TE,0,0,0,0,0,0,0,1.3,0,0.0,0,0.0,0.0,0.0,8.8,6.2
Isaac Nauta,Isaac,Nauta,Isaac Nauta,TE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,1.0,0.0,0.0
Irv Smith Jr.,Irv,Smith Jr.,Irv Smith Jr.,TE,0,-0.1,6.0,0.5,0,2.9,6.0,2.1,3.3,3.4,8.0,0.6,2.1,6.8,0.4,1.1
Jesper Horsted,Jesper,Horsted,Jesper Horsted,TE,0,0,0,0,0,0,0,0,0,0,0.4,7.8,3.6,-1.1,2.0,0.0
Josh Oliver,Josh,Oliver,Josh Oliver,TE,0,0,0,0,0,0,0,0.6,0.4,0.5,0,0.0,0.0,0.0,0.0,0.0
Jace Sternberger,Jace,Sternberger,Jace Sternberger,TE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kaden Smith,Kaden,Smith,Kaden Smith,TE,0,0,0,0,0,0,0,0,0,0.1,7.7,7.0,0.9,3.8,15.5,9.8
Noah Fant,Noah,Fant,Noah Fant,TE,2.4,3.3,1.7000000000000002,9.1,0.6,1.6,0.7,2.6,19.5,5.3,1.4,0.5,17.3,5.6,1.0,0.4
Stephen Carlson,Stephen,Carlson,Stephen Carlson,TE,0,0,0,0,0,0,0,0.0,0,6.8,0.8,2.8,0.0,0.0,0.7,0.0
T.J. Hockenson,T.J.,Hockenson,T.J. Hockenson,TE,19.1,0.7,0.1,8.7,2.1,3.2,2.1,5.6,4.7,0.6,0.0,1.8,0.0,0.0,0.0,0.0
Tommy Sweeney,Tommy,Sweeney,Tommy Sweeney,TE,3.5,0.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.6
Zach Gentry,Zach,Gentry,Zach Gentry,TE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.0,0.0
A.J. Brown,A.J.,Brown,A.J. Brown,WR,10.0,2.5,0.4,23.4,2.7,2.3,6.2,7.1,8.1,1.7,21.5,4.5,30.6,17.4,16.3,20.4
Ashton Dulin,Ashton,Dulin,Ashton Dulin,WR,0,0,0,0,0,0,0,0,0.0,0,0,1.3,0.0,0.4,0.0,0.0
Alexander Hollins,Alexander,Hollins,Alexander Hollins,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.6
Andy Isabella,Andy,Isabella,Andy Isabella,WR,0.0,0,0.0,0.5,1.1,0,0.8,0,16.8,7.8,0.6,0.0,0.5,0.30000000000000004,0.0,0.0
Deonte Harris,Deonte,Harris,Deonte Harris,WR,0.0,-0.7,4.0,1.0,0.0,0.0,0.0,1.7,0.0,0,0,0.0,2.1,0.1,0.0,1.3
Diontae Johnson,Diontae,Johnson,Diontae Johnson,WR,2.5,1.7,11.8,13.7,2.7,1.4,16.4,0.5,6.4,1.7,2.9,3.0999999999999996,19.6,4.2,14.1,5.4
D.K. Metcalf,D.K.,Metcalf,D.K. Metcalf,WR,8.9,12.1,6.7,0.6,12.4,7.300000000000001,3.3,13.3,23.0,5.0,3.5,5.5,7.8,9.6,0.0,14.1
