player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
Tom Brady,Tom,Brady,Tom Brady,QB,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0
Drew Brees,Drew,Brees,Drew Brees,QB,0,0,0,0,0,0,0,14.64,0,0,0,0.0,0,0,0,0
Josh McCown,Josh,McCown,Josh McCown,QB,0,0,0,0,0,0,0,0,0,0,0,-0.19999999999999996,0,0,0,-1.1600000000000001
Ben Roethlisberger,Ben,Roethlisberger,Ben Roethlisberger,QB,0,11.04,8.719999999999999,11.16,18.54,16.52,17.14,12.32,7.16,9.12,5.640000000000001,20.84,1.5599999999999996,12.54,15.939999999999998,0
Eli Manning,Eli,Manning,Eli Manning,QB,2.64,0,0,0,0,0,0,0,0,6.380000000000001,3.7199999999999998,4.52,-4.92,15.080000000000002,6.039999999999999,15.759999999999998
Matt Schaub,Matt,Schaub,Matt Schaub,QB,0,0,0,-0.2,0,0,0.36,0,0,0,0,-2.0,0.0,0,5.619999999999999,8.02
Philip Rivers,Philip,Rivers,Philip Rivers,QB,0,0,0,0,0,0,0,0,-0.4,0,0,0.0,0,0,0,5.22
Aaron Rodgers,Aaron,Rodgers,Aaron Rodgers,QB,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,-2.5999999999999996,0,-0.1
Ryan Fitzpatrick,Ryan,Fitzpatrick,Ryan Fitzpatrick,QB,0,0,0,0,0,0,0,0,0,0,26.700000000000003,11.719999999999999,7.0,5.06,0,0
Matt Moore,Matt,Moore,Matt Moore,QB,0,0,0,0,1.72,0,0,-0.56,-2.0,0,0.6400000000000001,0.0,0.84,8.82,9.280000000000001,12.96
Joe Flacco,Joe,Flacco,Joe Flacco,QB,15.86,0.96,9.58,2.5200000000000005,4.84,13.48,17.2,19.119999999999997,19.200000000000003,12.259999999999998,16.62,21.7,8.46,1.0999999999999996,8.36,11.88
Matt Ryan,Matt,Ryan,Matt Ryan,QB,12.24,4.32,14.18,7.42,15.36,16.14,16.48,14.899999999999999,18.72,9.8,10.559999999999999,15.98,23.9,6.140000000000001,9.56,7.300000000000001
Brian Hoyer,Brian,Hoyer,Brian Hoyer,QB,0,0,0,0,0,7.88,1.7,0,0,0,0.76,0.0,0,0,0,3.84
Chase Daniel,Chase,Daniel,Chase Daniel,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Matthew Stafford,Matthew,Stafford,Matthew Stafford,QB,8.2,6.780000000000001,15.940000000000001,13.84,0,0,13.120000000000001,6.119999999999997,15.760000000000002,34.58,6.619999999999999,6.52,0,0,0,0
Colt McCoy,Colt,McCoy,Colt McCoy,QB,0,0,0,0,0,13.440000000000001,3.76,14.96,13.299999999999999,15.54,0,0.0,0,18.72,2.960000000000001,8.26
Andy Dalton,Andy,Dalton,Andy Dalton,QB,7.24,21.58,2.7800000000000002,19.119999999999997,13.16,14.46,12.02,21.08,10.8,17.12,15.100000000000001,10.0,9.76,4.96,18.96,10.979999999999999
Cam Newton,Cam,Newton,Cam Newton,QB,31.68,26.58,15.02,32.46,25.66,14.18,26.14,24.9,11.98,24.9,19.62,38.26,20.64,19.46,35.34,11.52
Tyrod Taylor,Tyrod,Taylor,Tyrod Taylor,QB,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.72,0,0
Alex Tanney,Alex,Tanney,Alex Tanney,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Case Keenum,Case,Keenum,Case Keenum,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Kirk Cousins,Kirk,Cousins,Kirk Cousins,QB,0,0,0,0,5.440000000000001,0,0,0,0,0,0,0.0,7.04,22.36,0,0
Nick Foles,Nick,Foles,Nick Foles,QB,0,0,0,0,0,0,0,0,9.76,4.16,5.76,14.04,31.939999999999998,7.699999999999999,14.8,0
Robert Griffin,Robert,Griffin,Robert Griffin,QB,26.0,31.439999999999998,24.24,22.52,4.34,37.08,23.22,11.879999999999999,13.899999999999999,34.4,31.06,17.72,17.08,0,14.32,16.3
Ryan Tannehill,Ryan,Tannehill,Ryan Tannehill,QB,2.3599999999999994,20.4,6.140000000000001,18.24,8.52,17.0,0.72,15.5,2.58,6.34,15.419999999999998,13.34,13.5,22.0,17.6,6.200000000000001
Russell Wilson,Russell,Wilson,Russell Wilson,QB,8.120000000000001,12.84,16.0,1.8000000000000007,10.04,24.42,3.88,16.34,21.619999999999997,16.92,20.76,26.82,9.120000000000001,39.4,23.74,25.8
Matt Barkley,Matt,Barkley,Matt Barkley,QB,0,0,0,0,0,0,-0.8399999999999999,2.3200000000000003,0.32,0,0,0.0,0,0,0,0
Mike Glennon,Mike,Glennon,Mike Glennon,QB,0,0,0,5.619999999999999,18.92,18.54,15.2,16.02,7.26,18.64,17.18,3.5,8.6,13.16,4.62,15.759999999999998
Ryan Griffin,Ryan,Griffin,Ryan Griffin,QB,0,0,0,0.0,0,1.8,0,0.0,6.2,0,3.7,0.0,1.0,6.2,6.6,4.9
A.J. McCarron,A.J.,McCarron,A.J. McCarron,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Blake Bortles,Blake,Bortles,Blake Bortles,QB,0,0,16.92,12.560000000000002,5.039999999999999,19.24,8.06,12.64,17.880000000000003,11.899999999999999,6.24,18.560000000000002,11.2,6.6,13.6,10.78
