pid,gid,year,week,fgxp,fkicker,dist,good
517,4,2000,5,FG,JH-0500,52,0
583,4,2000,5,FG,JH-0500,48,0
877,6,2000,7,FG,KH-1500,52,0
1203,8,2000,9,FG,AV-0400,55,0
1435,9,2000,10,FG,DB-3900,52,0
1700,11,2000,12,FG,SJ-0300,41,0
1884,12,2000,13,FG,KB-2300,45,0
2022,13,2000,14,FG,RC-2900,27,0
2178,14,2000,15,FG,SC-0700,51,0
2277,14,2000,15,FG,CH-2900,60,0
2841,18,2000,20,FG,NR-0100,42,0
3299,21,2000,23,FG,SJ-0300,50,0
3323,21,2000,23,FG,MV-0100,47,0
4269,27,2000,29,FG,MG-1200,50,0
4384,27,2000,29,FG,PE-0100,42,0
4495,28,2000,30,FG,PS-0900,36,0
4820,30,2000,32,FG,AV-0400,29,0
4912,31,2000,34,FG,RC-2900,25,0
4921,31,2000,34,FG,MA-0700,50,0
4978,31,2000,34,FG,MA-0700,47,0
5075,32,2000,35,FG,PE-0100,49,0
5086,32,2000,35,FG,BD-0100,34,0
5100,32,2000,35,FG,BD-0100,41,0
5190,32,2000,35,FG,BD-0100,31,0
5398,34,2000,37,FG,JH-0900,34,0
5434,34,2000,37,FG,MG-1200,38,0
5589,35,2000,38,FG,RL-1300,40,0
5720,36,2000,39,FG,NR-0100,44,0
5749,36,2000,39,FG,NR-0100,47,0
5773,36,2000,39,FG,SL-0600,33,0
5940,37,2000,40,FG,JC-0900,51,0
6077,38,2000,41,FG,AV-0400,44,0
6268,39,2000,42,FG,SC-0700,43,0
6309,39,2000,42,FG,JH-0500,33,0
6467,40,2000,43,FG,SJ-0300,49,0
6534,41,2000,44,FG,KH-1500,37,0
6860,43,2000,46,FG,MS-5200,30,0
7667,48,2000,52,FG,JH-0900,32,0
7966,50,2000,54,FG,JN-0600,50,0
8181,51,2000,55,FG,AV-0400,53,0
8429,53,2000,57,FG,PD-0200,42,0
8695,54,2000,58,FG,KB-2300,50,0
8837,55,2000,59,FG,KH-1500,34,0
9135,57,2000,61,FG,MH-3900,30,0
9644,60,2000,65,FG,TS-1100,45,0
9891,62,2000,67,FG,MS-5200,51,0
10120,63,2000,68,FG,JN-0600,43,0
10242,64,2000,69,FG,JH-0900,43,0
10399,65,2000,70,FG,PE-0100,42,0
10671,67,2000,72,FG,CB-1700,51,0
10900,68,2000,73,FG,JC-0900,49,0
11064,69,2000,74,FG,AD-0800,46,0
11276,70,2000,75,FG,MG-1200,40,0
11313,70,2000,75,FG,MH-3900,35,0
11511,72,2000,77,FG,PS-0900,37,0
11744,73,2000,79,FG,PD-0200,42,0
11886,74,2000,80,FG,MA-0700,45,0
12124,75,2000,81,FG,JN-0600,34,0
12165,76,2000,82,FG,PE-0100,30,0
12376,77,2000,83,FG,NR-0100,35,0
12442,77,2000,83,FG,AD-0800,33,0
12467,77,2000,83,FG,NR-0100,46,0
13012,81,2000,87,FG,JH-0500,29,0
13156,82,2000,88,FG,MH-3900,33,0
13214,82,2000,88,FG,MH-3900,42,0
13337,83,2000,89,FG,JC-0900,34,0
13613,84,2000,90,FG,SJ-0300,41,0
13635,84,2000,90,FG,SJ-0300,35,0
13645,84,2000,90,FG,WR-0500,29,0
13711,85,2000,91,FG,SL-0600,31,0
13906,86,2000,92,FG,MG-1200,53,0
13951,86,2000,92,FG,GA-0300,51,0
14387,89,2000,96,FG,JE-0200,45,0
14708,91,2000,98,FG,TP-1200,44,0
14716,91,2000,98,FG,SJ-0300,47,0
14757,91,2000,98,FG,SJ-0300,59,0
14971,92,2000,99,FG,JH-0500,46,0
15036,93,2000,100,FG,DB-3900,51,0
15537,96,2000,103,FG,RL-0900,21,0
16254,100,2000,107,FG,AD-0800,44,0
16423,101,2000,109,FG,JH-0900,40,0
16519,102,2000,110,FG,MA-0700,33,0
17019,105,2000,113,FG,JE-0200,48,0
17069,105,2000,113,FG,JE-0200,48,0
17674,109,2000,117,FG,TP-1200,42,0
18030,111,2000,119,FG,RL-0900,43,0
18399,113,2000,121,FG,PD-0200,42,0
18483,114,2000,122,FG,OM-0100,36,0
