player,first,last,name,position1
SF,San Francisco,49ers,San Francisco 49ers,DF
CHI,Chicago,Bears,Chicago Bears,DF
CIN,Cincinnati,Bengals,Cincinnati Bengals,DF
BUF,Buffalo,Bills,Buffalo Bills,DF
DEN,Denver,Broncos,Denver Broncos,DF
CLE,Cleveland,Browns,Cleveland Browns,DF
TB,Tampa Bay,Buccaneers,Tampa Bay Buccaneers,DF
ARI,Arizona,Cardinals,Arizona Cardinals,DF
LAC,Los Angeles,Chargers,Los Angeles Chargers,DF
KC,Kansas City,Chiefs,Kansas City Chiefs,DF
IND,Indianapolis,Colts,Indianapolis Colts,DF
DAL,Dallas,Cowboys,Dallas Cowboys,DF
MIA,Miami,Dolphins,Miami Dolphins,DF
PHI,Philadelphia,Eagles,Philadelphia Eagles,DF
ATL,Atlanta,Falcons,Atlanta Falcons,DF
NYG,New York,Giants,New York Giants,DF
JAC,Jacksonville,Jaguars,Jacksonville Jaguars,DF
NYJ,New York,Jets,New York Jets,DF
DET,Detroit,Lions,Detroit Lions,DF
GB,Green Bay,Packers,Green Bay Packers,DF
CAR,Carolina,Panthers,Carolina Panthers,DF
NE,New England,Patriots,New England Patriots,DF
OAK,Oakland,Raiders,Oakland Raiders,DF
LA,Los Angeles,Rams,Los Angeles Rams,DF
BAL,Baltimore,Ravens,Baltimore Ravens,DF
WAS,Washington,Redskins,Washington Redskins,DF
NO,New Orleans,Saints,New Orleans Saints,DF
SEA,Seattle,Seahawks,Seattle Seahawks,DF
PIT,Pittsburgh,Steelers,Pittsburgh Steelers,DF
HOU,Houston,Texans,Houston Texans,DF
TEN,Tennessee,Titans,Tennessee Titans,DF
MIN,Minnesota,Vikings,Minnesota Vikings,DF
MB-0020,Michael,Badgley,Michael Badgley,K
DB-0200,Dan,Bailey,Dan Bailey,K
CB-2275,Chris,Boswell,Chris Boswell,K
MB-4600,Matt,Bryant,Matt Bryant,K
RB-4650,Randy,Bullock,Randy Bullock,K
HB-0500,Harrison,Butker,Harrison Butker,K
DC-0450,Daniel,Carlson,Daniel Carlson,K
MC-3000,Mason,Crosby,Mason Crosby,K
JE-0250,Jake,Elliott,Jake Elliott,K
KF-0075,Ka'imi,Fairbairn,Ka'imi Fairbairn,K
SF-0050,Sam,Ficken,Sam Ficken,K
NF-0300,Nick,Folk,Nick Folk,K
KF-0250,Kai,Forbath,Kai Forbath,K
MG-0306,Matt,Gay,Matt Gay,K
ZG-0050,Zane,Gonzalez,Zane Gonzalez,K
SG-0800,Stephen,Gostkowski,Stephen Gostkowski,K
RG-1500,Robbie,Gould,Robbie Gould,K
SH-0400,Stephen,Hauschka,Stephen Hauschka,K
DH-3970,Dustin,Hopkins,Dustin Hopkins,K
GJ-1200,Greg,Joseph,Greg Joseph,K
YK-0100,Younghoe,Koo,Younghoe Koo,K
JL-0207,Josh,Lambo,Josh Lambo,K
TL-1062,Ty,Long,Ty Long,K
WL-0300,Wil,Lutz,Wil Lutz,K
BM-0062,Brett,Maher,Brett Maher,K
CM-2137,Chase,McLaughlin,Chase McLaughlin,K
BM-1650,Brandon,McManus,Brandon McManus,K
JM-7000,Jason,Myers,Jason Myers,K
MN-0800,Mike,Nugent,Mike Nugent,K
CP-0575,Cody,Parkey,Cody Parkey,K
EP-0512,Eddy,Pineiro,Eddy Pineiro,K
MP-2100,Matt,Prater,Matt Prater,K
AR-1450,Aldrick,Rosas,Aldrick Rosas,K
JS-0350,Jason,Sanders,Jason Sanders,K
CS-0250,Cairo,Santos,Cairo Santos,K
