Year,Name,Tm,Age,Pos,Games-G,Games-GS,FGA-0-19,FGM-0-19,FGA-20-29,FGM-20-29,FGA-30-39,FGM-30-39,FGA-40-49,FGM-40-49,FGA-50+,FGM-50+,Score-FGA,Score-FGM,Score-Lng,Score-FG%,Score-XPA,Score-XPM,Score-XP%,Kick-KO,Kick-KOYds,Kick-TB,Kick-TB%,Kick-KOAvg,Punt-Pnt,Punt-Yds,Punt-Lng,Punt-Blck,Punt-Y/P,Rk
2019,Harrison Butker,KAN,24,K,16,0,,,9,9,10,9,13,13,6,3,38,34,56,0.895,48,45,0.938,98,6157,60,0.612,62.8,,,,,,1
2019,Wil Lutz,NOR,25,K,16,0,1,1,9,9,6,6,15,13,5,3,36,32,58,0.889,49,48,0.98,94,6082,74,0.787,64.7,,,,,,2
2019,Zane Gonzalez,ARI,24,K,16,0,,,12,12,13,12,8,5,2,2,35,31,54,0.886,35,34,0.971,83,5241,45,0.542,63.1,2,84,44,0,42,3
2019,Matt Gay,TAM,25,K,16,0,,,6,6,7,5,14,11,8,5,35,27,58,0.771,48,43,0.896,1,14,,,14,,,,,,4
2019,Josh Lambo,JAX,29,K,16,0,,,12,12,9,9,9,8,4,4,34,33,56,0.971,20,19,0.95,40,2283,23,0.575,57.1,,,,,,5
2019,Brandon McManus,DEN,28,K,16,0,,,6,6,9,9,12,10,7,4,34,29,53,0.853,26,25,0.962,72,4634,55,0.764,64.4,,,,,,6
2019,Greg Zuerlein,LAR,32,K,16,0,,,7,7,8,7,11,5,7,5,33,24,58,0.727,42,42,1,83,5281,64,0.771,63.6,,,,,,7
2019,Joey Slye,CAR,23,K,16,0,,,5,4,5,5,11,8,11,8,32,25,55,0.781,35,31,0.886,70,4503,66,0.943,64.3,,,,,,8
2019,Chris Boswell,PIT,28,K,16,0,1,1,11,11,7,7,10,9,2,1,31,29,51,0.935,28,28,1,72,4552,31,0.431,63.2,,,,,,9
2019,Randy Bullock,CIN,30,K,16,0,,,10,10,6,6,12,10,3,1,31,27,57,0.871,25,24,0.96,71,4269,46,0.648,60.1,,,,,,10
2019,Robbie Gould,SFO,37,K,13,0,,,9,9,10,8,8,6,4,,31,23,47,0.742,42,41,0.976,1,37,,,37,,,,,,11
2019,Matt Prater,DET,35,K,16,0,,,11,11,3,2,9,6,8,7,31,26,56,0.839,36,35,0.972,19,1159,8,0.421,61,,,,,,12
2019,Dustin Hopkins,WAS,29,K,16,0,,,8,7,9,8,10,8,3,2,30,25,53,0.833,22,21,0.955,68,4231,48,0.706,62.2,,,,,,13
2019,Brett Maher,DAL,30,K,13,0,,,9,9,8,6,5,1,8,4,30,20,63,0.667,36,36,1,69,4170,36,0.522,60.4,,,,,,14
2019,Jason Sanders,MIA,24,K,16,0,,,7,7,9,8,9,5,5,3,30,23,54,0.767,30,29,0.967,71,4314,49,0.69,60.8,,,,,,15
2019,Austin Seibert,CLE,23,K,16,0,,,6,6,9,9,12,9,2,1,29,25,53,0.862,35,30,0.857,75,4753,30,0.4,63.4,1,37,37,0,37,16
2019,Dan Bailey,MIN,31,K,16,0,,,10,10,9,9,7,5,3,3,29,27,50,0.931,44,40,0.909,87,5597,66,0.759,64.3,,,,,,17
2019,Justin Tucker,BAL,30,K,16,0,,,8,8,9,9,11,10,1,1,29,28,51,0.966,59,57,0.966,106,6646,57,0.538,62.7,,,,,,18
2019,Stephen Hauschka,BUF,34,K,16,0,,,5,5,8,7,10,9,5,1,28,22,51,0.786,32,30,0.938,73,4529,42,0.575,62,,,,,,19
2019,Jason Myers,SEA,28,K,16,0,,,6,6,11,11,7,4,4,2,28,23,54,0.821,44,40,0.909,85,5337,59,0.694,62.8,,,,,,20
2019,Eddy Pineiro,CHI,24,K,16,0,1,1,8,8,10,9,7,3,2,2,28,23,53,0.821,29,27,0.931,52,3141,26,0.5,60.4,,,,,,21
2019,Sam Ficken,NYJ,27,K,15,0,,,2,2,8,7,11,7,6,3,27,19,54,0.704,26,23,0.885,62,3763,29,0.468,60.7,,,,,,22
2019,Daniel Carlson,OAK,24,K,16,0,,,8,8,6,5,10,6,2,,26,19,48,0.731,36,34,0.944,71,4496,38,0.535,63.3,,,,,,23
2019,Jake Elliott,PHI,24,K,16,0,,,7,7,8,8,7,5,4,2,26,22,53,0.846,37,35,0.946,81,5058,52,0.642,62.4,,,,,,24
2019,Younghoe Koo,ATL,25,K,8,0,,,6,6,10,9,9,7,1,1,26,23,50,0.885,16,15,0.938,50,3041,27,0.54,60.8,,,,,,25
2019,Ka'imi Fairbairn,HOU,25,K,16,0,,,5,5,8,8,6,4,6,3,25,20,54,0.8,45,40,0.889,81,5091,42,0.519,62.9,1,26,26,0,26,26
2019,Adam Vinatieri,IND,47,K,12,0,,,7,6,6,6,7,3,5,2,25,17,55,0.68,28,22,0.786,,,,,,,,,,,27
2019,Mason Crosby,GNB,35,K,16,0,1,1,2,2,11,11,8,7,2,1,24,22,54,0.917,41,40,0.976,79,5031,49,0.62,63.7,,,,,,28
2019,Chase McLaughlin,3TM,23,K,11,0,1,1,5,5,4,4,10,5,3,3,23,18,50,0.783,26,26,1,18,1064,7,0.389,59.1,,,,,,29
2019,Nick Folk,NWE,35,K,7,0,1,1,5,5,3,3,7,4,1,1,17,14,51,0.824,12,12,1,1,41,,,41,,,,,,30
2019,Aldrick Rosas,NYG,25,K,16,0,,,6,6,6,5,4,1,1,,17,12,45,0.706,39,35,0.897,71,4433,50,0.704,62.4,,,,,,31
2019,Michael Badgley,LAC,24,K,8,0,,,5,5,2,2,8,6,1,,16,13,49,0.813,19,19,1,11,665,1,0.091,60.5,,,,,,32
2019,Matt Bryant,ATL,44,K,7,0,,,1,1,4,3,3,3,6,2,14,9,52,0.643,15,14,0.933,5,304,,,60.8,,,,,,33
2019,Kai Forbath,2TM,32,K,4,0,,,2,2,1,1,7,7,1,1,11,11,50,1,12,11,0.917,23,1375,15,0.652,59.8,,,,,,34
2019,Ty Long,LAC,26,K,16,0,,,,,3,2,5,4,1,1,9,7,51,0.778,9,9,1,47,2978,28,0.596,63.4,48,2256,60,0,47,35
2019,Cairo Santos,TEN,28,K,5,0,,,,,3,1,3,2,3,1,9,4,53,0.444,12,12,1,21,1339,12,0.571,63.8,,,,,,36
2019,Stephen Gostkowski,NWE,35,K,4,0,,,3,3,3,3,2,1,,,8,7,41,0.875,15,11,0.733,26,1687,21,0.808,64.9,,,,,,37
2019,Mike Nugent,NWE,37,K,4,0,,,4,3,3,2,1,,,,8,5,37,0.625,16,15,0.938,,,,,,,,,,,38
2019,Ryan Succop,TEN,33,K,6,0,,,,,1,1,4,,1,,6,1,31,0.167,25,24,0.96,17,1015,3,0.176,59.7,,,,,,39
2019,Cody Parkey,TEN,27,K,3,0,,,,,,,2,2,1,1,3,3,51,1,6,5,0.833,12,753,9,0.75,62.8,,,,,,40
2019,Kaare Vedvik,NYJ,25,K,1,0,,,,,,,1,,,,1,,,0,1,,0,3,195,3,1,65,,,,,,41
2018,Ka'imi Fairbairn,HOU,24,K,16,0,1,1,9,9,11,11,15,12,6,4,42,37,54,0.881,41,39,0.951,92,5885,58,0.63,64,,,,,,1
2018,Justin Tucker+,BAL,29,K,16,0,,,12,12,9,9,11,9,7,5,39,35,56,0.897,37,36,0.973,92,5765,58,0.63,62.7,,,,,,2
2018,Mason Crosby,GNB,34,K,16,0,,,4,4,11,10,15,11,7,5,37,30,53,0.811,36,34,0.944,83,5168,41,0.494,62.3,,,,,,3
2018,Brett Maher,DAL,29,K,16,0,,,10,10,8,6,11,7,7,6,36,29,62,0.806,33,32,0.97,77,4984,52,0.675,64.7,,,,,,4
2018,Jason Myers,NYJ,27,K,16,0,,,4,4,13,12,12,11,7,6,36,33,56,0.917,33,30,0.909,82,5255,60,0.732,64.1,,,,,,5
2018,Robbie Gould,SFO,36,K,16,0,,,9,9,13,13,10,9,2,2,34,33,53,0.971,29,27,0.931,4,102,,,25.5,,,,,,6
2018,Aldrick Rosas,NYG,24,K,16,0,,,9,9,13,13,6,6,5,4,33,32,57,0.97,32,31,0.969,85,5186,51,0.6,61,,,,,,7
2018,Stephen Gostkowski,NWE,34,K,16,0,,,11,11,10,10,6,4,5,2,32,27,52,0.844,50,49,0.98,93,5784,50,0.538,62.2,,,,,,8
2018,Matt Prater,DET,34,K,16,0,,,8,8,12,12,7,5,5,3,32,28,54,0.875,30,30,1,6,343,3,0.5,57.2,,,,,,9
2018,Jake Elliott,PHI,23,K,16,0,,,7,7,11,10,8,7,5,2,31,26,56,0.839,35,33,0.943,82,5210,57,0.695,63.5,,,,,,10
2018,Greg Zuerlein,LAR,31,K,11,0,,,9,9,10,10,6,4,6,4,31,27,56,0.871,36,35,0.972,75,4843,57,0.76,64.6,,,,,,11
2018,Wil Lutz,NOR,24,K,16,0,1,1,5,5,9,9,12,11,3,2,30,28,54,0.933,53,52,0.981,101,6503,64,0.634,64.4,,,,,,12
2018,Cody Parkey,CHI,26,K,16,0,,,6,6,10,7,12,9,2,1,30,23,50,0.767,45,42,0.933,89,5627,65,0.73,63.2,,,,,,13
2018,Ryan Succop,TEN,32,K,16,0,,,6,5,13,13,7,5,4,3,30,26,54,0.867,31,28,0.903,70,4480,45,0.643,64,,,,,,14
