Rk,Player,Pos,Age,Date,Lg,Tm,H/A,Opp,Result,G#,Week,Day,Rec Tgt,Rec,Rec Yds,Rec Y/R,Rec TD,Rec Ctch%,Rec Y/Tgt
1,Sammy Watkins,WR,26.086,9/8/19,NFL,KAN,A,JAX,W 40-26,1,1,Sun,11,9,198,22,3,81.80%,18
2,Michael Gallup,WR,23.157,9/8/19,NFL,DAL,H,NYG,W 35-17,1,1,Sun,7,7,158,22.57,0,100.00%,22.57
3,John Ross,WR,24.285,9/8/19,NFL,CIN,A,SEA,L 20-21,1,1,Sun,12,7,158,22.57,2,58.30%,13.17
4,DeSean Jackson,WR,32.281,9/8/19,NFL,PHI,H,WAS,W 32-27,1,1,Sun,9,8,154,19.25,2,88.90%,17.11
5,Marquise Brown,WR,22.096,9/8/19,NFL,BAL,A,MIA,W 59-10,1,1,Sun,5,4,147,36.75,2,80.00%,29.4
6,DJ Chark,WR,22.35,9/8/19,NFL,JAX,H,KAN,L 26-40,1,1,Sun,4,4,146,36.5,1,100.00%,36.5
7,T.J. Hockenson,TE,22.067,9/8/19,NFL,DET,A,ARI,T 27-27,1,1,Sun,9,6,131,21.83,1,66.70%,14.56
8,Terry McLaurin,WR,23.358,9/8/19,NFL,WAS,A,PHI,L 27-32,1,1,Sun,7,5,125,25,1,71.40%,17.86
9,Keenan Allen,WR,27.134,9/8/19,NFL,LAC,H,IND,W 30-24,1,1,Sun,10,8,123,15.38,1,80.00%,12.3
10,John Brown,WR,29.158,9/8/19,NFL,BUF,A,NYJ,W 17-16,1,1,Sun,10,7,123,17.57,1,70.00%,12.3
11,Michael Thomas,WR,26.19,9/9/19,NFL,NOR,H,HOU,W 30-28,1,1,Mon,13,10,123,12.3,0,76.90%,9.46
12,Courtland Sutton,WR,23.334,9/9/19,NFL,DEN,A,OAK,L 16-24,1,1,Mon,8,7,120,17.14,0,87.50%,15
13,Evan Engram,TE,25.006,9/8/19,NFL,NYG,A,DAL,L 17-35,1,1,Sun,14,11,116,10.55,1,78.60%,8.29
14,Larry Fitzgerald,WR,36.008,9/8/19,NFL,ARI,H,DET,T 27-27,1,1,Sun,13,8,113,14.13,1,61.50%,8.69
15,DeAndre Hopkins,WR,27.095,9/9/19,NFL,HOU,A,NOR,L 28-30,1,1,Mon,13,8,111,13.88,2,61.50%,8.54
16,Mark Andrews,TE,23.002,9/8/19,NFL,BAL,A,MIA,W 59-10,1,1,Sun,8,8,108,13.5,1,100.00%,13.5
17,Amari Cooper,WR,25.083,9/8/19,NFL,DAL,H,NYG,W 35-17,1,1,Sun,9,6,106,17.67,1,66.70%,11.78
18,Tyrell Williams,WR,27.209,9/9/19,NFL,OAK,H,DEN,W 24-16,1,1,Mon,7,6,105,17.5,1,85.70%,15
19,Danny Amendola,WR,33.31,9/8/19,NFL,DET,A,ARI,T 27-27,1,1,Sun,13,7,104,14.86,1,53.80%,8
20,Allen Robinson,WR,26.012,9/5/19,NFL,CHI,H,GNB,L 3-10,1,1,Thu,13,7,102,14.57,0,53.80%,7.85
21,Ted Ginn,WR,34.15,9/9/19,NFL,NOR,H,HOU,W 30-28,1,1,Mon,7,7,101,14.43,0,100.00%,14.43
22,A.J. Brown,WR,22.07,9/8/19,NFL,TEN,A,CLE,W 43-13,1,1,Sun,4,3,100,33.33,0,75.00%,25
23,Jamison Crowder,WR,26.083,9/8/19,NFL,NYJ,H,BUF,L 16-17,1,1,Sun,17,14,99,7.07,0,82.40%,5.82
24,Chris Conley,WR,26.318,9/8/19,NFL,JAX,H,KAN,L 26-40,1,1,Sun,7,6,97,16.17,1,85.70%,13.86
25,Austin Ekeler,RB,24.114,9/8/19,NFL,LAC,H,IND,W 30-24,1,1,Sun,7,6,96,16,2,85.70%,13.71
26,Phillip Dorsett,WR,26.246,9/8/19,NFL,NWE,H,PIT,W 33-3,1,1,Sun,4,4,95,23.75,2,100.00%,23.75
27,D.K. Metcalf,WR,21.268,9/8/19,NFL,SEA,H,CIN,W 21-20,1,1,Sun,6,4,89,22.25,0,66.70%,14.83
28,Travis Kelce,TE,29.338,9/8/19,NFL,KAN,A,JAX,W 40-26,1,1,Sun,8,3,88,29.33,0,37.50%,11
29,T.Y. Hilton,WR,29.298,9/8/19,NFL,IND,A,LAC,L 24-30,1,1,Sun,9,8,87,10.88,2,88.90%,9.67
30,Emmanuel Sanders,WR,32.176,9/9/19,NFL,DEN,A,OAK,L 16-24,1,1,Mon,7,5,86,17.2,1,71.40%,12.29
31,Julian Edelman,WR,33.109,9/8/19,NFL,NWE,H,PIT,W 33-3,1,1,Sun,11,6,83,13.83,0,54.50%,7.55
32,Christian McCaffrey,RB,23.093,9/8/19,NFL,CAR,H,LAR,L 27-30,1,1,Sun,11,10,81,8.1,0,90.90%,7.36
33,JuJu Smith-Schuster,WR,22.29,9/8/19,NFL,PIT,A,NWE,L 3-33,1,1,Sun,8,6,78,13,0,75.00%,9.75
34,Austin Hooper,TE,24.308,9/8/19,NFL,ATL,A,MIN,L 12-28,1,1,Sun,9,9,77,8.56,0,100.00%,8.56
35,D.J. Moore,WR,22.147,9/8/19,NFL,CAR,H,LAR,L 27-30,1,1,Sun,10,7,76,10.86,0,70.00%,7.6
36,Derrick Henry,RB,25.247,9/8/19,NFL,TEN,A,CLE,W 43-13,1,1,Sun,2,1,75,75,1,50.00%,37.5
37,DeVante Parker,WR,26.231,9/8/19,NFL,MIA,H,BAL,L 10-59,1,1,Sun,7,3,75,25,0,42.90%,10.71
38,Cody Latimer,WR,26.333,9/8/19,NFL,NYG,A,DAL,L 17-35,1,1,Sun,7,3,74,24.67,0,42.90%,10.57
39,Josh Gordon,WR,28.148,9/8/19,NFL,NWE,H,PIT,W 33-3,1,1,Sun,4,3,73,24.33,1,75.00%,18.25
40,Alvin Kamara,RB,24.046,9/9/19,NFL,NOR,H,HOU,W 30-28,1,1,Mon,8,7,72,10.29,0,87.50%,9
41,Odell Beckham,WR,26.307,9/8/19,NFL,CLE,H,TEN,L 13-43,1,1,Sun,11,7,71,10.14,0,63.60%,6.45
42,Darren Waller,TE,26.361,9/9/19,NFL,OAK,H,DEN,W 24-16,1,1,Mon,8,7,70,10,0,87.50%,8.75
43,Robert Woods,WR,27.151,9/8/19,NFL,LAR,A,CAR,W 30-27,1,1,Sun,13,8,70,8.75,0,61.50%,5.38
44,Randall Cobb,WR,29.017,9/8/19,NFL,DAL,H,NYG,W 35-17,1,1,Sun,5,4,69,17.25,1,80.00%,13.8
45,Will Fuller,WR,25.146,9/9/19,NFL,HOU,A,NOR,L 28-30,1,1,Mon,3,2,69,34.5,0,66.70%,23
