Rank,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17
1,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,SFO,NEW,NWE,NWE,BAL,BAL,BAL,BAL
2,KAN,KAN,KAN,KAN,KAN,NOR,NOR,NOR,SFO,NWE,SFO,BAL,BAL,SFO,SFO,NOR,NOR
3,NOR,NOR,LAR,LAR,NOR,KAN,SFO,SFO,NOR,NOR,BAL,SFO,SFO,NWE,NOR,SFO,SFO
4,LAR,LAR,DAL,DAL,LAR,GNB,SEA,GNB,GNB,BAL,SEA,SEA,SEA,NOR,KAN,KAN,KAN
5,PHI,PHI,BAL,GNB,DAL,SEA,GNB,KAN,KAN,KAN,GNB,GNB,NOR,SEA,NWE,SEA,NWE
6,LAC,DAL,GNB,BAL,GNB,SFO,KAN,BAL,BAL,SEA,NOR,NOR,MIN,KAN,SEA,NWE,GNB
7,CHI,LAC,SEA,NOR,SEA,LAR,HOU,SEA,SEA,GNB,MIN,MIN,GNB,MIN,GNB,GNB,SEA
8,IND,BAL,PHI,MIN,SFO,DAL,BUF,MIN,MIN,HOU,HOU,KAN,KAN,GNB,MIN,MIN,MIN
9,DAL,MIN,NOR,SEA,CHI,PHI,BAL,BUF,HOU,MIN,KAN,DAL,HOU,HOU,LAR,BUF,BUF
10,CLE,GNB,LAC,HOU,BAL,BUF,MIN,HOU,LAR,LAR,DAL,HOU,BUF,BUF,BUF,HOU,HOU
11,PIT,SEA,MIN,SFO,PHI,BAL,LAR,LAR,IND,DAL,LAR,LAR,DAL,LAR,HOU,TEN,TEN
12,GNB,HOU,HOU,BUF,BUF,HOU,DAL,DAL,DAL,IND,PHI,BUF,LAR,TEN,TEN,LAR,LAR
13,MIN,CHI,SFO,DET,HOU,CHI,CAR,IND,BUF,BUF,BUF,IND,IND,DAL,PIT,DAL,PHI
14,HOU,TEN,CHI,CHI,MIN,MIN,PHI,CAR,PHI,PHI,IND,PHI,TEN,PIT,CHI,PIT,DAL
15,SEA,IND,BUF,PHI,DET,IND,IND,PHI,CAR,CAR,PIT,OAK,PHI,IND,DAL,CHI,PIT
16,ATL,PIT,ATL,LAC,LAC,DET,CHI,CHI,DET,OAK,CAR,PIT,PIT,PHI,IND,PHI,CHI
17,BAL,CLE,IND,IND,CLE,CAR,DET,DET,CHI,PIT,OAK,TEN,OAK,OAK,PHI,TAM,IND
18,CAR,CAR,TEN,ATL,TEN,CLE,OAK,OAK,TEN,DET,TEN,CAR,CAR,CHI,OAK,IND,TAM
19,JAX,ATL,CLE,TEN,IND,LAC,CLE,CLE,OAK,LAC,LAC,LAC,CLE,CAR,CLE,OAK,OAK
20,TEN,SFO,DET,CLE,CAR,TEN,PIT,TEN,JAX,TEN,CHI,CHI,LAC,CLE,LAC,CLE,ATL
21,DET,DET,PIT,CAR,TAM,OAK,LAC,PIT,PIT,CHI,DET,DET,CHI,LAC,TAM,LAC,CLE
22,SFO,BUF,OAK,JAX,JAX,TAM,TEN,JAX,CLE,JAX,JAX,CLE,DET,TAM,CAR,ATL,DEN
23,DEN,OAK,TAM,TAM,ATL,JAX,JAX,ARI,LAC,ARI,TAM,JAX,ARI,DET,DEN,CAR,LAC
24,NYJ,JAX,CAR,OAK,OAK,NYG,DEN,LAC,ARI,DEN,ARI,ARI,TAM,DEN,ATL,DEN,ARI
25,BUF,DEN,DEN,PIT,NYG,ATL,TAM,DEN,DEN,TAM,CLE,ATL,NYJ,ARI,DET,ARI,NYJ
26,OAK,NYJ,JAX,NYG,PIT,PIT,NYG,TAM,TAM,CLE,DEN,TAM,JAX,JAX,ARI,JAX,CAR
27,TAM,CIN,NYJ,DEN,DEN,DEN,ARI,NYG,NYG,NYG,ATL,DEN,ATL,ATL,NYJ,NYJ,JAX
28,CIN,WAS,ARI,ARI,ARI,ARI,NYJ,NYJ,ATL,ATL,MIA,NYJ,DEN,NYJ,JAX,DET,NYG
29,WAS,ARI,CIN,WAS,CIN,CIN,ATL,ATL,NYJ,WAS,NYJ,MIA,MIA,MIA,MIA,NYG,DET
30,ARI,TAM,WAS,CIN,NYJ,NYJ,CIN,WAS,WAS,MIA,NYG,NYG,NYG,WAS,WAS,WAS,MIA
31,NYG,NYG,NYG,NYJ,WAS,WAS,WAS,CIN,CIN,NYJ,WAS,WAS,WAS,NYG,NYG,MIA,WAS
32,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN
